chart	title	artist	weeks	rank	query_week	lyrics
country-songs	A Guy With A Girl	Blake Shelton	19	8	2/18/2017	"Sometimes I'm the guy with the boys kicking it back
Or the guy with the guitar singing on a country track
I might be the guy with an ice cold can, stirring up dust on some old farmland
When I walk into the party with you girl, you change all that

I'm just the guy with the girl everybody wants to know
Wishin' you were there alone
Wonderin' how I ever got your little hand in mine
Lookin' over at ya like ""ain't she beautiful?""
I'm invisible but I stand right there and smile
You're right beside me, oh and I see the same thing they're seein'
But I don't mind being the guy with the girl, no

It's funny watchin' 'em do the way they do
They come walkin' up to me but they only wanna talk to you
And I don't blame 'em that they're hypnotized
...

"
country-songs	Sober Saturday Night	Chris Young Featuring Vince Gill	35	9	2/18/2017	"I feel terrible, sunlight's hurting my eyes
So I pull my shades and make my place as black as night
I feel miserable, and I'm missing you and me
'Nother Sunday morning all alone underneath these sheets

No I'm not hungover it's true, but I'm still not over you
All messed up, all strung out
I was sitting at home, breaking down
Not out there getting high, underneath some neon lights
...

"
country-songs	My Old Man	Zac Brown Band	2	10	2/18/2017	"He was a giant
And I was just a kid
I was always trying
To do everything he did
I can still remember every lesson he taught me
Growing up learning how to be like my old man

He was a lion
We were our father's pride
But I was defiant
When he made me walk the line
He knew how to lift me up
And when to let me fall
...

"
country-songs	Better Man	Little Big Town	16	1	2/11/2017	"I know I'm probably better off on my own
Than loving a man who didn't know what he had when he had it
And I see the permanent damage you did to me
Never again, I just wish I could forget when it was magic.

I wish it wasn't 4 AM standing in the mirror
Saying to myself, you know you had to do it
I know the bravest thing I ever did was run

Sometimes in the middle of the night I can feel you again
But I just miss you and I just wish you were a better man
And I know why we had to say goodbye like the back of my hand
And I just miss you and I just wish you were a better man
A Better Man

I know I'm probably better off all alone
Than needing a man who could change his mind at any given minute
...

"
country-songs	Body Like A Back Road	Sam Hunt	1	2	2/11/2017	"Got a girl from the Southside
Got braids in her hair
First time I seen her walk by
Man I ‘Bout fell up out my chair

Had to get her number
Took me like 6 weeks
Now me and her go way back
Like Cadillac seats

Body like a back road
Could drive it with my eyes closed
I know every curve like the back of my hand
Doin' fifteen in a thirty
I ain't in no hurry
I'm a take it slow just as fast as I can

The way she fit in them blue jeans
She don't need no belt
...

"
country-songs	Blue Ain't Your Color	Keith Urban	26	3	2/11/2017	"I can see you over there
Starring at your drink
Watchin' that ice sink
All alone tonight

And chances are
You're sittin' here in this bar
‘Cause he ain't gonna treat you right
Well, it's probably not my place
But I'm gonna say it anyway
‘Cause you look like
You haven't felt the fire
Had a little fun
Hadn't had a smile in a little while
Baby

Blue looks good on the sky
Looks good on that neon buzzin' on the wall
But darling, it don't match your eyes
I'm tellin' you
...

"
country-songs	Dirt On My Boots	Jon Pardi	20	4	2/11/2017	"Been up since the crack of dawn
Just trying to paid
Been hotter than a thousand suns
I can't find no shade
Just two more roads and I'm good to go
Yeah, I'm shutting this tractor down
Get me a half an hour for a shave or a shower
And I'll be outside your house

Might have a little dirt on my boots
But I'm taking you uptown tonight
Might have a little mud on my wheels
But they're gonna shine with you're up inside
Gonna hit the club, gonna cut a rug
Burn it up like neon lights
Might have a little dirt on my boots
But we're gonna dance the dust right off them tonight
Got a little dirt on my boots
...

"
country-songs	Star Of The Show	Thomas Rhett	18	5	2/11/2017	"Walking down the street, hand in mine
It don't keep them other guys
And their wondering eyes from looking at you
That's alright and that's ok
Who can blame 'em anyway?
You're so pretty, and you ain't even got a clue


Cause everywhere we go girl
You're the star of the show
And everybody's wondering and wanting to know
What's your name?
Who's that girl, with the prettiest smile in the world?
Oh, what gets me the most is you don't even know
That you are, you are, you are
The star of the show
You're the star of the show, yeah, baby
...

"
country-songs	A Guy With A Girl	Blake Shelton	18	6	2/11/2017	"Sometimes I'm the guy with the boys kicking it back
Or the guy with the guitar singing on a country track
I might be the guy with an ice cold can, stirring up dust on some old farmland
When I walk into the party with you girl, you change all that

I'm just the guy with the girl everybody wants to know
Wishin' you were there alone
Wonderin' how I ever got your little hand in mine
Lookin' over at ya like ""ain't she beautiful?""
I'm invisible but I stand right there and smile
You're right beside me, oh and I see the same thing they're seein'
But I don't mind being the guy with the girl, no

It's funny watchin' 'em do the way they do
They come walkin' up to me but they only wanna talk to you
And I don't blame 'em that they're hypnotized
...

"
country-songs	Seein' Red	Dustin Lynch	32	7	2/11/2017	"Flame
Girl you light it up when I hear you say my name
Yeah you know just how to start it
You shine, and I can't wait to get you out tonight
Yeah you know how bad I want it
Ride this Chevy like a Cadilac
Well that one stop light, no lookin' back
Wherever we're going gonna get there fast

I'm talkin' red-hot red kiss fallin' off your lips
I'm talking red-hot red dress hangin' on your hips
I'm talkin' backseat heatbeat poundin' in my chest
I'm seein' red
I'm seein' red
Can't get you outta my head, girl
Can't get you outta my head
The way you color up my world
I'm seein'red
...

"
country-songs	Think A Little Less	Michael Ray	19	8	2/11/2017	"Midights creepin in and we know better, we're leavin here together
In case your wondering, you never looked hotter, So why even bother looking at the reasons not to, maybe we 'ought to
Kiss a little more, think a little less
Burnin up the night like a cigarette.
Get you outta this bar outta that dress.
Kiss a little more, Kiss a little more, think a little less.
...

"
country-songs	The Weekend	Brantley Gilbert	28	9	2/11/2017	"Hey

Tick tock, I'm on the clock and I'm feeling like
This job's just 9 to 5'in my life away
It's like I'm back in school and I'm in the last class
And I'm passing time until the bell ring
Havin' visions of summertime
Wait a minute now, that's just later tonight
Tan legs and tailgating, it's all up in the moonlight
And by the way, loosin' up its pay day

Live it up for the weekend
Pour it up, have the time of your life
Take a shot for the regrets
Double up and it's bound to get buck wild
Hey ladies, let your hair down
We know ain't nobody scared now, hell nah
Just do your thing like it's spring break
...

"
country-songs	Sober Saturday Night	Chris Young Featuring Vince Gill	34	10	2/11/2017	"I feel terrible, sunlight's hurting my eyes
So I pull my shades and make my place as black as night
I feel miserable, and I'm missing you and me
'Nother Sunday morning all alone underneath these sheets

No I'm not hungover it's true, but I'm still not over you
All messed up, all strung out
I was sitting at home, breaking down
Not out there getting high, underneath some neon lights
...

"
country-songs	Better Man	Little Big Town	15	1	2/4/2017	"I know I'm probably better off on my own
Than loving a man who didn't know what he had when he had it
And I see the permanent damage you did to me
Never again, I just wish I could forget when it was magic.

I wish it wasn't 4 AM standing in the mirror
Saying to myself, you know you had to do it
I know the bravest thing I ever did was run

Sometimes in the middle of the night I can feel you again
But I just miss you and I just wish you were a better man
And I know why we had to say goodbye like the back of my hand
And I just miss you and I just wish you were a better man
A Better Man

I know I'm probably better off all alone
Than needing a man who could change his mind at any given minute
...

"
country-songs	Blue Ain't Your Color	Keith Urban	25	2	2/4/2017	"I can see you over there
Starring at your drink
Watchin' that ice sink
All alone tonight

And chances are
You're sittin' here in this bar
‘Cause he ain't gonna treat you right
Well, it's probably not my place
But I'm gonna say it anyway
‘Cause you look like
You haven't felt the fire
Had a little fun
Hadn't had a smile in a little while
Baby

Blue looks good on the sky
Looks good on that neon buzzin' on the wall
But darling, it don't match your eyes
I'm tellin' you
...

"
country-songs	A Guy With A Girl	Blake Shelton	17	3	2/4/2017	"Sometimes I'm the guy with the boys kicking it back
Or the guy with the guitar singing on a country track
I might be the guy with an ice cold can, stirring up dust on some old farmland
When I walk into the party with you girl, you change all that

I'm just the guy with the girl everybody wants to know
Wishin' you were there alone
Wonderin' how I ever got your little hand in mine
Lookin' over at ya like ""ain't she beautiful?""
I'm invisible but I stand right there and smile
You're right beside me, oh and I see the same thing they're seein'
But I don't mind being the guy with the girl, no

It's funny watchin' 'em do the way they do
They come walkin' up to me but they only wanna talk to you
And I don't blame 'em that they're hypnotized
...

"
country-songs	Dirt On My Boots	Jon Pardi	19	4	2/4/2017	"Been up since the crack of dawn
Just trying to paid
Been hotter than a thousand suns
I can't find no shade
Just two more roads and I'm good to go
Yeah, I'm shutting this tractor down
Get me a half an hour for a shave or a shower
And I'll be outside your house

Might have a little dirt on my boots
But I'm taking you uptown tonight
Might have a little mud on my wheels
But they're gonna shine with you're up inside
Gonna hit the club, gonna cut a rug
Burn it up like neon lights
Might have a little dirt on my boots
But we're gonna dance the dust right off them tonight
Got a little dirt on my boots
...

"
country-songs	Star Of The Show	Thomas Rhett	17	5	2/4/2017	"Walking down the street, hand in mine
It don't keep them other guys
And their wondering eyes from looking at you
That's alright and that's ok
Who can blame 'em anyway?
You're so pretty, and you ain't even got a clue


Cause everywhere we go girl
You're the star of the show
And everybody's wondering and wanting to know
What's your name?
Who's that girl, with the prettiest smile in the world?
Oh, what gets me the most is you don't even know
That you are, you are, you are
The star of the show
You're the star of the show, yeah, baby
...

"
country-songs	Seein' Red	Dustin Lynch	31	6	2/4/2017	"Flame
Girl you light it up when I hear you say my name
Yeah you know just how to start it
You shine, and I can't wait to get you out tonight
Yeah you know how bad I want it
Ride this Chevy like a Cadilac
Well that one stop light, no lookin' back
Wherever we're going gonna get there fast

I'm talkin' red-hot red kiss fallin' off your lips
I'm talking red-hot red dress hangin' on your hips
I'm talkin' backseat heatbeat poundin' in my chest
I'm seein' red
I'm seein' red
Can't get you outta my head, girl
Can't get you outta my head
The way you color up my world
I'm seein'red
...

"
country-songs	May We All	Florida Georgia Line Featuring Tim McGraw	28	7	2/4/2017	"May we all get to grow up in our red white and blue little town
Get a one star hand me down Ford to try to fix up
With some part time cash from driving a tractor
Find a sweet little thang, wears your ball cap backwards
Kinda place you can't wait to leave but nobody does
Cause you miss it too much

May we all know that nothing ain't cool 'til you wear the new one
The sound of a quarter rollin' down a jukebox
Play the Travis Tritt right above the 2Pac
Hope you get lost down some road
Slow rolling with the top off the back of a Bronco
Buy a cold sixer with a cashed in lotto
She's smilin' with her hair blowing out the window
Where you 'bout to go?
Yeah you learn to fly and if you can't then you just frefall
May we all
...

"
country-songs	Think A Little Less	Michael Ray	18	8	2/4/2017	"Midights creepin in and we know better, we're leavin here together
In case your wondering, you never looked hotter, So why even bother looking at the reasons not to, maybe we 'ought to
Kiss a little more, think a little less
Burnin up the night like a cigarette.
Get you outta this bar outta that dress.
Kiss a little more, Kiss a little more, think a little less.
...

"
country-songs	Sober Saturday Night	Chris Young Featuring Vince Gill	33	9	2/4/2017	"I feel terrible, sunlight's hurting my eyes
So I pull my shades and make my place as black as night
I feel miserable, and I'm missing you and me
'Nother Sunday morning all alone underneath these sheets

No I'm not hungover it's true, but I'm still not over you
All messed up, all strung out
I was sitting at home, breaking down
Not out there getting high, underneath some neon lights
...

"
country-songs	Dirty Laundry	Carrie Underwood	22	10	2/4/2017	"That lipstick on your collar, well, it ain't my shade of pink
And I can tell by the smell of that perfume, it's like forty dollars too cheap
And there's a little wine stain on the pocket of your white cotton thread
You drink beer and whiskey, boy, and you know I don't drink red

Found it over in the corner
Wadded up on the bedroom floor
You shoulda hid it in the closet
You shoulda burned it, you shoulda lost it

Now I'ma have to hang you out to dry, dry, dry
Clothespin all your secrets to the line, line, line
Leave 'em blowing in the wind, just say goodbye to you
All those midnights sneaking in
...

"
country-songs	Blue Ain't Your Color	Keith Urban	24	1	1/28/2017	"I can see you over there
Starring at your drink
Watchin' that ice sink
All alone tonight

And chances are
You're sittin' here in this bar
‘Cause he ain't gonna treat you right
Well, it's probably not my place
But I'm gonna say it anyway
‘Cause you look like
You haven't felt the fire
Had a little fun
Hadn't had a smile in a little while
Baby

Blue looks good on the sky
Looks good on that neon buzzin' on the wall
But darling, it don't match your eyes
I'm tellin' you
...

"
country-songs	Better Man	Little Big Town	14	2	1/28/2017	"I know I'm probably better off on my own
Than loving a man who didn't know what he had when he had it
And I see the permanent damage you did to me
Never again, I just wish I could forget when it was magic.

I wish it wasn't 4 AM standing in the mirror
Saying to myself, you know you had to do it
I know the bravest thing I ever did was run

Sometimes in the middle of the night I can feel you again
But I just miss you and I just wish you were a better man
And I know why we had to say goodbye like the back of my hand
And I just miss you and I just wish you were a better man
A Better Man

I know I'm probably better off all alone
Than needing a man who could change his mind at any given minute
...

"
country-songs	A Guy With A Girl	Blake Shelton	16	3	1/28/2017	"Sometimes I'm the guy with the boys kicking it back
Or the guy with the guitar singing on a country track
I might be the guy with an ice cold can, stirring up dust on some old farmland
When I walk into the party with you girl, you change all that

I'm just the guy with the girl everybody wants to know
Wishin' you were there alone
Wonderin' how I ever got your little hand in mine
Lookin' over at ya like ""ain't she beautiful?""
I'm invisible but I stand right there and smile
You're right beside me, oh and I see the same thing they're seein'
But I don't mind being the guy with the girl, no

It's funny watchin' 'em do the way they do
They come walkin' up to me but they only wanna talk to you
And I don't blame 'em that they're hypnotized
...

"
country-songs	Star Of The Show	Thomas Rhett	16	4	1/28/2017	"Walking down the street, hand in mine
It don't keep them other guys
And their wondering eyes from looking at you
That's alright and that's ok
Who can blame 'em anyway?
You're so pretty, and you ain't even got a clue


Cause everywhere we go girl
You're the star of the show
And everybody's wondering and wanting to know
What's your name?
Who's that girl, with the prettiest smile in the world?
Oh, what gets me the most is you don't even know
That you are, you are, you are
The star of the show
You're the star of the show, yeah, baby
...

"
country-songs	Dirt On My Boots	Jon Pardi	18	5	1/28/2017	"Been up since the crack of dawn
Just trying to paid
Been hotter than a thousand suns
I can't find no shade
Just two more roads and I'm good to go
Yeah, I'm shutting this tractor down
Get me a half an hour for a shave or a shower
And I'll be outside your house

Might have a little dirt on my boots
But I'm taking you uptown tonight
Might have a little mud on my wheels
But they're gonna shine with you're up inside
Gonna hit the club, gonna cut a rug
Burn it up like neon lights
Might have a little dirt on my boots
But we're gonna dance the dust right off them tonight
Got a little dirt on my boots
...

"
country-songs	Dirty Laundry	Carrie Underwood	21	6	1/28/2017	"That lipstick on your collar, well, it ain't my shade of pink
And I can tell by the smell of that perfume, it's like forty dollars too cheap
And there's a little wine stain on the pocket of your white cotton thread
You drink beer and whiskey, boy, and you know I don't drink red

Found it over in the corner
Wadded up on the bedroom floor
You shoulda hid it in the closet
You shoulda burned it, you shoulda lost it

Now I'ma have to hang you out to dry, dry, dry
Clothespin all your secrets to the line, line, line
Leave 'em blowing in the wind, just say goodbye to you
All those midnights sneaking in
...

"
country-songs	May We All	Florida Georgia Line Featuring Tim McGraw	27	7	1/28/2017	"May we all get to grow up in our red white and blue little town
Get a one star hand me down Ford to try to fix up
With some part time cash from driving a tractor
Find a sweet little thang, wears your ball cap backwards
Kinda place you can't wait to leave but nobody does
Cause you miss it too much

May we all know that nothing ain't cool 'til you wear the new one
The sound of a quarter rollin' down a jukebox
Play the Travis Tritt right above the 2Pac
Hope you get lost down some road
Slow rolling with the top off the back of a Bronco
Buy a cold sixer with a cashed in lotto
She's smilin' with her hair blowing out the window
Where you 'bout to go?
Yeah you learn to fly and if you can't then you just frefall
May we all
...

"
country-songs	Wanna Be That Song	Brett Eldredge	35	8	1/28/2017	"The radio and a sundress
Makin' my world all a mess
Back corner of a cornfield
Bottle tops and the truth spin
Pull the lever, lay the seat back laughin'
You slippin' off your shoes
While the dashboard speakers
Sing every word of Night Moves
I wanna be that song that gets you high
Makes you dance, makes you fall
That melody rewinds years, once disappeared
Makes time stall
wanna be those words
that fill you up, roll your windows down
and keeps you young
makes you believe you're right where you belong
i wanna be that song
i wanna be wanna be wanna be wanna be that song
ooh
i wanna be
i wanna
i wanna
...

"
country-songs	Seein' Red	Dustin Lynch	30	9	1/28/2017	"Flame
Girl you light it up when I hear you say my name
Yeah you know just how to start it
You shine, and I can't wait to get you out tonight
Yeah you know how bad I want it
Ride this Chevy like a Cadilac
Well that one stop light, no lookin' back
Wherever we're going gonna get there fast

I'm talkin' red-hot red kiss fallin' off your lips
I'm talking red-hot red dress hangin' on your hips
I'm talkin' backseat heatbeat poundin' in my chest
I'm seein' red
I'm seein' red
Can't get you outta my head, girl
Can't get you outta my head
The way you color up my world
I'm seein'red
...

"
country-songs	Kill A Word	Eric Church Featuring Rhiannon Giddens	19	10	1/28/2017	"If I could kill a word and watch it die
I'd poison ""never,"" shoot goodbye
Beat ""regret"" when I felt I had the nerve
Yeah, I'd pound ""fear"" to a pile of sand
Choke ""lonely"" out with my bare hands
I'd hang ""hate"" so that it can't be heard
If I could only kill a word

I'd take ""brokeness"" out back
And break ""heartbreak,"" stand there and laugh
Right in its face while shootin' it the bird
I'd put ""upset"" down in its place
I'd squeeze the life out of ""disgrace""
Lay ""over"" under six cold feet of dirt
...

"
country-songs	Blue Ain't Your Color	Keith Urban	23	1	1/21/2017	"I can see you over there
Starring at your drink
Watchin' that ice sink
All alone tonight

And chances are
You're sittin' here in this bar
‘Cause he ain't gonna treat you right
Well, it's probably not my place
But I'm gonna say it anyway
‘Cause you look like
You haven't felt the fire
Had a little fun
Hadn't had a smile in a little while
Baby

Blue looks good on the sky
Looks good on that neon buzzin' on the wall
But darling, it don't match your eyes
I'm tellin' you
...

"
country-songs	Better Man	Little Big Town	13	2	1/21/2017	"I know I'm probably better off on my own
Than loving a man who didn't know what he had when he had it
And I see the permanent damage you did to me
Never again, I just wish I could forget when it was magic.

I wish it wasn't 4 AM standing in the mirror
Saying to myself, you know you had to do it
I know the bravest thing I ever did was run

Sometimes in the middle of the night I can feel you again
But I just miss you and I just wish you were a better man
And I know why we had to say goodbye like the back of my hand
And I just miss you and I just wish you were a better man
A Better Man

I know I'm probably better off all alone
Than needing a man who could change his mind at any given minute
...

"
country-songs	Dirty Laundry	Carrie Underwood	20	3	1/21/2017	"That lipstick on your collar, well, it ain't my shade of pink
And I can tell by the smell of that perfume, it's like forty dollars too cheap
And there's a little wine stain on the pocket of your white cotton thread
You drink beer and whiskey, boy, and you know I don't drink red

Found it over in the corner
Wadded up on the bedroom floor
You shoulda hid it in the closet
You shoulda burned it, you shoulda lost it

Now I'ma have to hang you out to dry, dry, dry
Clothespin all your secrets to the line, line, line
Leave 'em blowing in the wind, just say goodbye to you
All those midnights sneaking in
...

"
country-songs	May We All	Florida Georgia Line Featuring Tim McGraw	26	4	1/21/2017	"May we all get to grow up in our red white and blue little town
Get a one star hand me down Ford to try to fix up
With some part time cash from driving a tractor
Find a sweet little thang, wears your ball cap backwards
Kinda place you can't wait to leave but nobody does
Cause you miss it too much

May we all know that nothing ain't cool 'til you wear the new one
The sound of a quarter rollin' down a jukebox
Play the Travis Tritt right above the 2Pac
Hope you get lost down some road
Slow rolling with the top off the back of a Bronco
Buy a cold sixer with a cashed in lotto
She's smilin' with her hair blowing out the window
Where you 'bout to go?
Yeah you learn to fly and if you can't then you just frefall
May we all
...

"
country-songs	A Guy With A Girl	Blake Shelton	15	5	1/21/2017	"Sometimes I'm the guy with the boys kicking it back
Or the guy with the guitar singing on a country track
I might be the guy with an ice cold can, stirring up dust on some old farmland
When I walk into the party with you girl, you change all that

I'm just the guy with the girl everybody wants to know
Wishin' you were there alone
Wonderin' how I ever got your little hand in mine
Lookin' over at ya like ""ain't she beautiful?""
I'm invisible but I stand right there and smile
You're right beside me, oh and I see the same thing they're seein'
But I don't mind being the guy with the girl, no

It's funny watchin' 'em do the way they do
They come walkin' up to me but they only wanna talk to you
And I don't blame 'em that they're hypnotized
...

"
country-songs	Star Of The Show	Thomas Rhett	15	6	1/21/2017	"Walking down the street, hand in mine
It don't keep them other guys
And their wondering eyes from looking at you
That's alright and that's ok
Who can blame 'em anyway?
You're so pretty, and you ain't even got a clue


Cause everywhere we go girl
You're the star of the show
And everybody's wondering and wanting to know
What's your name?
Who's that girl, with the prettiest smile in the world?
Oh, what gets me the most is you don't even know
That you are, you are, you are
The star of the show
You're the star of the show, yeah, baby
...

"
country-songs	Wanna Be That Song	Brett Eldredge	34	7	1/21/2017	"The radio and a sundress
Makin' my world all a mess
Back corner of a cornfield
Bottle tops and the truth spin
Pull the lever, lay the seat back laughin'
You slippin' off your shoes
While the dashboard speakers
Sing every word of Night Moves
I wanna be that song that gets you high
Makes you dance, makes you fall
That melody rewinds years, once disappeared
Makes time stall
wanna be those words
that fill you up, roll your windows down
and keeps you young
makes you believe you're right where you belong
i wanna be that song
i wanna be wanna be wanna be wanna be that song
ooh
i wanna be
i wanna
i wanna
...

"
country-songs	Dirt On My Boots	Jon Pardi	17	8	1/21/2017	"Been up since the crack of dawn
Just trying to paid
Been hotter than a thousand suns
I can't find no shade
Just two more roads and I'm good to go
Yeah, I'm shutting this tractor down
Get me a half an hour for a shave or a shower
And I'll be outside your house

Might have a little dirt on my boots
But I'm taking you uptown tonight
Might have a little mud on my wheels
But they're gonna shine with you're up inside
Gonna hit the club, gonna cut a rug
Burn it up like neon lights
Might have a little dirt on my boots
But we're gonna dance the dust right off them tonight
Got a little dirt on my boots
...

"
country-songs	Tennessee Whiskey	Chris Stapleton	22	9	1/21/2017	"Used to spend my nights out in a barroom
Liquor was the only love I've known
But you rescued me from reachin' for the bottom
And brought me back from being too far gone

You're as smooth as Tennessee whiskey
You're as sweet as strawberry wine
You're as warm as a glass of brandy
And honey, I stay stoned on your love all the time

...

"
country-songs	Seein' Red	Dustin Lynch	29	10	1/21/2017	"Flame
Girl you light it up when I hear you say my name
Yeah you know just how to start it
You shine, and I can't wait to get you out tonight
Yeah you know how bad I want it
Ride this Chevy like a Cadilac
Well that one stop light, no lookin' back
Wherever we're going gonna get there fast

I'm talkin' red-hot red kiss fallin' off your lips
I'm talking red-hot red dress hangin' on your hips
I'm talkin' backseat heatbeat poundin' in my chest
I'm seein' red
I'm seein' red
Can't get you outta my head, girl
Can't get you outta my head
The way you color up my world
I'm seein'red
...

"
country-songs	Blue Ain't Your Color	Keith Urban	22	1	1/14/2017	"I can see you over there
Starring at your drink
Watchin' that ice sink
All alone tonight

And chances are
You're sittin' here in this bar
‘Cause he ain't gonna treat you right
Well, it's probably not my place
But I'm gonna say it anyway
‘Cause you look like
You haven't felt the fire
Had a little fun
Hadn't had a smile in a little while
Baby

Blue looks good on the sky
Looks good on that neon buzzin' on the wall
But darling, it don't match your eyes
I'm tellin' you
...

"
country-songs	May We All	Florida Georgia Line Featuring Tim McGraw	25	2	1/14/2017	"May we all get to grow up in our red white and blue little town
Get a one star hand me down Ford to try to fix up
With some part time cash from driving a tractor
Find a sweet little thang, wears your ball cap backwards
Kinda place you can't wait to leave but nobody does
Cause you miss it too much

May we all know that nothing ain't cool 'til you wear the new one
The sound of a quarter rollin' down a jukebox
Play the Travis Tritt right above the 2Pac
Hope you get lost down some road
Slow rolling with the top off the back of a Bronco
Buy a cold sixer with a cashed in lotto
She's smilin' with her hair blowing out the window
Where you 'bout to go?
Yeah you learn to fly and if you can't then you just frefall
May we all
...

"
country-songs	Better Man	Little Big Town	12	3	1/14/2017	"I know I'm probably better off on my own
Than loving a man who didn't know what he had when he had it
And I see the permanent damage you did to me
Never again, I just wish I could forget when it was magic.

I wish it wasn't 4 AM standing in the mirror
Saying to myself, you know you had to do it
I know the bravest thing I ever did was run

Sometimes in the middle of the night I can feel you again
But I just miss you and I just wish you were a better man
And I know why we had to say goodbye like the back of my hand
And I just miss you and I just wish you were a better man
A Better Man

I know I'm probably better off all alone
Than needing a man who could change his mind at any given minute
...

"
country-songs	Wanna Be That Song	Brett Eldredge	33	4	1/14/2017	"The radio and a sundress
Makin' my world all a mess
Back corner of a cornfield
Bottle tops and the truth spin
Pull the lever, lay the seat back laughin'
You slippin' off your shoes
While the dashboard speakers
Sing every word of Night Moves
I wanna be that song that gets you high
Makes you dance, makes you fall
That melody rewinds years, once disappeared
Makes time stall
wanna be those words
that fill you up, roll your windows down
and keeps you young
makes you believe you're right where you belong
i wanna be that song
i wanna be wanna be wanna be wanna be that song
ooh
i wanna be
i wanna
i wanna
...

"
country-songs	Dirty Laundry	Carrie Underwood	19	5	1/14/2017	"That lipstick on your collar, well, it ain't my shade of pink
And I can tell by the smell of that perfume, it's like forty dollars too cheap
And there's a little wine stain on the pocket of your white cotton thread
You drink beer and whiskey, boy, and you know I don't drink red

Found it over in the corner
Wadded up on the bedroom floor
You shoulda hid it in the closet
You shoulda burned it, you shoulda lost it

Now I'ma have to hang you out to dry, dry, dry
Clothespin all your secrets to the line, line, line
Leave 'em blowing in the wind, just say goodbye to you
All those midnights sneaking in
...

"
country-songs	A Guy With A Girl	Blake Shelton	14	6	1/14/2017	"Sometimes I'm the guy with the boys kicking it back
Or the guy with the guitar singing on a country track
I might be the guy with an ice cold can, stirring up dust on some old farmland
When I walk into the party with you girl, you change all that

I'm just the guy with the girl everybody wants to know
Wishin' you were there alone
Wonderin' how I ever got your little hand in mine
Lookin' over at ya like ""ain't she beautiful?""
I'm invisible but I stand right there and smile
You're right beside me, oh and I see the same thing they're seein'
But I don't mind being the guy with the girl, no

It's funny watchin' 'em do the way they do
They come walkin' up to me but they only wanna talk to you
And I don't blame 'em that they're hypnotized
...

"
country-songs	Star Of The Show	Thomas Rhett	14	7	1/14/2017	"Walking down the street, hand in mine
It don't keep them other guys
And their wondering eyes from looking at you
That's alright and that's ok
Who can blame 'em anyway?
You're so pretty, and you ain't even got a clue


Cause everywhere we go girl
You're the star of the show
And everybody's wondering and wanting to know
What's your name?
Who's that girl, with the prettiest smile in the world?
Oh, what gets me the most is you don't even know
That you are, you are, you are
The star of the show
You're the star of the show, yeah, baby
...

"
country-songs	Dirt On My Boots	Jon Pardi	16	8	1/14/2017	"Been up since the crack of dawn
Just trying to paid
Been hotter than a thousand suns
I can't find no shade
Just two more roads and I'm good to go
Yeah, I'm shutting this tractor down
Get me a half an hour for a shave or a shower
And I'll be outside your house

Might have a little dirt on my boots
But I'm taking you uptown tonight
Might have a little mud on my wheels
But they're gonna shine with you're up inside
Gonna hit the club, gonna cut a rug
Burn it up like neon lights
Might have a little dirt on my boots
But we're gonna dance the dust right off them tonight
Got a little dirt on my boots
...

"
country-songs	Song For Another Time	Old Dominion	30	9	1/14/2017	"Right now we both know
we're marina del ray,
planes gonna fly away
and you'll be on it
And by this time tomorrow
i'll be singing yesterday
the sunshine's gonna fade
and we can't stop it
so before we turn in to
i can't make you love me

let's be brown eyed girl sweet caroline,
free fall small town sat night.
before you lose that loving feeling
let's go dancing on the ceiling
keep on living that teenage dream,
...

"
country-songs	Seein' Red	Dustin Lynch	28	10	1/14/2017	"Flame
Girl you light it up when I hear you say my name
Yeah you know just how to start it
You shine, and I can't wait to get you out tonight
Yeah you know how bad I want it
Ride this Chevy like a Cadilac
Well that one stop light, no lookin' back
Wherever we're going gonna get there fast

I'm talkin' red-hot red kiss fallin' off your lips
I'm talking red-hot red dress hangin' on your hips
I'm talkin' backseat heatbeat poundin' in my chest
I'm seein' red
I'm seein' red
Can't get you outta my head, girl
Can't get you outta my head
The way you color up my world
I'm seein'red
...

"
country-songs	Blue Ain't Your Color	Keith Urban	21	1	1/7/2017	"I can see you over there
Starring at your drink
Watchin' that ice sink
All alone tonight

And chances are
You're sittin' here in this bar
‘Cause he ain't gonna treat you right
Well, it's probably not my place
But I'm gonna say it anyway
‘Cause you look like
You haven't felt the fire
Had a little fun
Hadn't had a smile in a little while
Baby

Blue looks good on the sky
Looks good on that neon buzzin' on the wall
But darling, it don't match your eyes
I'm tellin' you
...

"
country-songs	May We All	Florida Georgia Line Featuring Tim McGraw	24	2	1/7/2017	"May we all get to grow up in our red white and blue little town
Get a one star hand me down Ford to try to fix up
With some part time cash from driving a tractor
Find a sweet little thang, wears your ball cap backwards
Kinda place you can't wait to leave but nobody does
Cause you miss it too much

May we all know that nothing ain't cool 'til you wear the new one
The sound of a quarter rollin' down a jukebox
Play the Travis Tritt right above the 2Pac
Hope you get lost down some road
Slow rolling with the top off the back of a Bronco
Buy a cold sixer with a cashed in lotto
She's smilin' with her hair blowing out the window
Where you 'bout to go?
Yeah you learn to fly and if you can't then you just frefall
May we all
...

"
